baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ILMN_1729894,51.8463626070919,-0.121013990647116,0.10823067510066,-1.11811176022479,0.263519264332033,0.731218043665074
ILMN_1743205,426.267371140099,0.338185858909852,0.256545635530589,1.31822885316452,0.187427049493664,0.659406518919205
ILMN_2259319,94.9117145358502,0.0786863553798516,0.239983529702039,0.327882315413677,0.743000645503658,0.944120851375966
ILMN_2129886,1934.08095589458,0.153228115585339,0.298654810705366,0.513060932196079,0.607908698706524,0.9047253837532
ILMN_1796801,369.683690108193,0.0172114785054269,0.264809526255964,0.0649956923709396,0.948177429994474,0.988879940653951
ILMN_1720501,345.500470134934,0.725018190553253,0.27245946084745,2.66101308538957,0.00779059293966604,0.203606557949322
ILMN_1668446,517.846620478379,0.534576713357615,0.25614663946035,2.0869948342241,0.0368886015049126,0.394916168070363
ILMN_1812070,430.430953337704,0.0295232221633597,0.288917559463427,0.102185627686285,0.918609335480548,0.984135751738159
ILMN_2094875,183.860252082495,-0.172585787378635,0.309406601829373,-0.55779607273477,0.576983644759896,0.895551986567516
ILMN_1665730,1059.92505775517,-0.0972359401786902,0.123934331675662,-0.784576306371327,0.432702026402544,0.83381880795536
ILMN_2232066,57.9727415778484,0.0424972679772684,0.118629593962826,0.358234961088928,0.720167485854802,0.938783149437574
ILMN_1767349,73.0991638296898,-0.260716528522842,0.176816287198343,-1.47450516382795,0.140345628394606,0.611285220371647
ILMN_1658257,43.5012179065406,-0.151591262101544,0.0802483634667354,-1.88902621253307,0.0588883164410828,0.4668003432514
ILMN_2193980,1778.00211242848,0.211177448604955,0.176128226288649,1.19899832670128,0.230528596248284,0.701205070613567
ILMN_1687840,3483.18179380943,-0.0210305033999187,0.0722369942838007,-0.291132038485644,0.770950337498036,0.950174091830486
ILMN_2102422,715.517975665575,0.191889740147869,0.238508452791186,0.804540626976723,0.421084815967558,0.82869712696709
ILMN_1788928,64.3252748878914,-0.0374299079978094,0.119599440972972,-0.312960559792819,0.75431062673239,0.947211298386331
ILMN_2343047,1381.80654650311,0.0279404955421253,0.207155739760692,0.134876762644387,0.892709312370343,0.978891099131747
ILMN_2343048,1960.53038721784,0.0600895802725741,0.179689606219935,0.334407657385737,0.738071961933573,0.943425030879435
ILMN_2335302,2959.06633565469,0.128366782821471,0.180200884090999,0.712353790432278,0.476245722646845,0.855657633632284
ILMN_1802404,2536.32556957665,0.0708829949008938,0.191729988971547,0.369702180035137,0.711604407277044,0.935303704646133
ILMN_1776119,968.24312191468,-0.0369566503506956,0.218686433991357,-0.168993794796417,0.865801522236983,0.974283740088709
ILMN_2358714,60.3523851193571,-0.111502872274727,0.195626505612993,-0.569978346877561,0.56869238438383,0.893414874088332
ILMN_1732140,122.703609270527,-0.103633596156483,0.0945516383762775,-1.09605288640333,0.273055630882007,0.740091730511988
ILMN_1713008,134.057434628696,-0.636482957238494,0.245273583928326,-2.59499187415342,0.00945931553385485,0.22345297042983
ILMN_1762093,64.6798019160063,-0.154393412807597,0.135842093321943,-1.13656532398752,0.255720042947013,0.72442507815544
ILMN_1709092,43.6348476452119,-0.19939405682574,0.0964210615255194,-2.0679512719632,0.0386446054003842,0.402005160356617
ILMN_1774344,84.353854132698,-0.262513008669332,0.122631424277832,-2.14066671911586,0.032300924190915,0.373046427270742
ILMN_1676278,83.0241748340943,-0.368074503481569,0.161691067915218,-2.27640591547436,0.0228217259549759,0.325137654403165
ILMN_1677814,1029.35029332066,0.593981550455537,0.243752655927413,2.43682083461039,0.014817018724277,0.272390212179652
ILMN_1788457,211.141968303846,-0.26041551582138,0.292284982963623,-0.890964404605731,0.372948266642304,0.802424481313672
ILMN_2194009,387.121016010799,0.0186292565757579,0.189857168243317,0.0981224820117562,0.921835035604285,0.984818487413981
ILMN_2302358,713.648579539262,-0.149417809338663,0.306594931187947,-0.487345986966326,0.626013163610344,0.91078206128174
ILMN_1706531,3560.15656240316,0.0582306107124617,0.169789535664021,0.342957594440262,0.731630362225286,0.940905535660475
ILMN_1651964,1493.30745794939,-0.0923850784372816,0.183195842191151,-0.504296807898537,0.614052820280146,0.906625305973096
ILMN_1778352,86.3534154061352,-0.169804978608323,0.153716104906607,-1.10466615525739,0.269304273790313,0.736173944435942
ILMN_1725414,78.3063479194851,-0.0737497224349579,0.0916987992230477,-0.804260503516185,0.421246542841326,0.82869712696709
ILMN_2293902,70.7134066040637,-0.0292196525566359,0.103149452909062,-0.283274915499517,0.776966104618111,0.951951172180266
ILMN_1801521,112.939659234196,-0.400091527253436,0.214711473530072,-1.86339146518595,0.0624072099413789,0.47551608311982
ILMN_2406654,91.2916929855964,-0.0599543943813794,0.154672546474926,-0.387621434752149,0.698296204148801,0.930792572705432
ILMN_3246902,67.5130203281913,-0.106825869373699,0.0689291727902241,-1.54979183775798,0.121191486750185,0.58391411079715
ILMN_3244070,65.8661470917053,-0.177186986021237,0.0653585913153547,-2.7109976279371,0.00670811061392218,0.190953648745341
ILMN_1767129,477.691598118803,0.962453515176951,0.415211034684342,2.31798636061935,0.020450062338698,0.308149548754705
ILMN_1746196,90.5987814503692,0.200576455859061,0.102584020375817,1.95524073948602,0.0505546621168755,0.441088300863514
ILMN_2366473,110.427525084964,0.188020544904198,0.125950890080838,1.49280838574084,0.135487351595015,0.603670494075128
ILMN_1751453,4089.16332162705,0.220859860339565,0.207258413234256,1.06562554876812,0.286592945207209,0.749687951522353
ILMN_1772189,394.141618486347,0.190432432731518,0.325063452003705,0.585831570906186,0.557988705637319,0.889435068025179
ILMN_1652959,98.568883807101,0.277367267471437,0.177221657664223,1.56508674575743,0.117562570929376,0.579520094709792
ILMN_2198897,67.4547315280562,0.249248586421361,0.153662976418921,1.6220471074428,0.104793262021826,0.557838189289792
ILMN_1674032,106.960889013519,-0.14522475964374,0.102080473356365,-1.42264974748655,0.154837715040959,0.627422886443863
ILMN_2343917,126.422600315235,0.249389120232224,0.154976943136419,1.60920144109887,0.107572301413775,0.563411848217512
ILMN_1651501,323.224210054919,-0.200023438649119,0.286879206344068,-0.697239235977323,0.485653088136721,0.860558355954115
ILMN_2330267,886.296686424282,0.081120264410576,0.138543524003946,0.585521878368458,0.558196860018865,0.889435068025179
ILMN_1676846,14164.8253221957,0.0137141002675596,0.0751550025572939,0.182477543755051,0.855207975973816,0.971876271341266
ILMN_2392635,1463.17753459383,0.213607727575094,0.137626917665981,1.55207811958354,0.120643532707654,0.583206361749672
ILMN_1763875,9406.60501286619,0.0883117131885246,0.0908060513066799,0.972531146523141,0.330786377618524,0.776829207572657
ILMN_2284941,121.233635459575,-0.160317485042744,0.29990285232467,-0.534564722542843,0.592950883156844,0.899536362571741
ILMN_1781999,1758.04386646925,-0.0226423152775932,0.231326923614821,-0.097880155598726,0.922027457848734,0.984818487413981
ILMN_1669201,1014.33792380369,0.0921686650054485,0.200464434061897,0.4597756476692,0.645677264555831,0.915867829214437
ILMN_1810085,1415.71118628443,-0.100129309307845,0.22042417172622,-0.454257391663067,0.649643579600787,0.916583532405707
ILMN_2262362,65.2513662089496,-0.00845747991805604,0.0671537601629221,-0.125942015719407,0.899777823709448,0.980687030679899
ILMN_1743638,84.9973398730808,-0.109930764932616,0.085288070330295,-1.28893483586728,0.197420742004136,0.668436282109681
ILMN_1658176,231.422744615885,-0.0646700296592521,0.295308635385708,-0.218991326057179,0.826656804587778,0.964870024245728
ILMN_2329927,1766.08256633292,0.125725470905836,0.288486792798981,0.435810144672523,0.662974482867034,0.920655026287819
ILMN_1794782,1700.35713004673,0.123472767144525,0.172966246227772,0.713854696146488,0.475317033767138,0.855370435268341
ILMN_1695968,78.6124357088634,-0.194074800380646,0.12746162190647,-1.52261361088796,0.127855402515212,0.593509358813237
ILMN_1789641,479.907996353475,0.272277530782414,0.32783836437451,0.830523698170283,0.406242754845673,0.820547096753068
ILMN_1779470,2859.02650102328,-0.0209429845840758,0.251616202845357,-0.0832338472135171,0.933665599919918,0.986434478558003
ILMN_1716592,84.8405590756253,-0.451942897774926,0.168233361191879,-2.68640473312223,0.00722255414374284,0.197871257145154
ILMN_1680309,102.234130907143,-0.454065136376063,0.186451337694965,-2.43530103881001,0.0148794049145727,0.273309840016163
ILMN_1743371,89.4481945451973,-0.424571965441244,0.173732703390297,-2.44382293693679,0.0145325569076393,0.269670615344695
ILMN_1770031,2548.24499745832,0.0192975132719034,0.126347678592936,0.152733421672714,0.878608503287086,0.976940124958565
